platform,city,restaurant_name,rating,eta,product_name,price,url,scrape_time
uber_eats,CDMX,McDonald's Centro,4.6,10 min,10 mcnuggets + papas grandes 30% off,$55,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465552
uber_eats,CDMX,McDonald's Centro,4.6,10 min,10 mcnuggets + papas grandes,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465553
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + mcpatatas con queso,$75,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465554
uber_eats,CDMX,McDonald's Centro,4.6,10 min,¡big mac + unas deliciosas mcpatatas con queso! a un súper precio,$75,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465555
uber_eats,CDMX,McDonald's Centro,4.6,10 min,exclusivo uber: mct nuggets 10 piezas + hamburguesa con queso,$85,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465555
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío nuggets 10 piezas + hamburguesa con queso,$89,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465556
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465557
uber_eats,CDMX,McDonald's Centro,4.6,10 min,disfruta de 2 cheese burger + 2 piezas de mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465558
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío big mac,$80,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465559
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío nuggets 10 piezas,$79,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465560
uber_eats,CDMX,McDonald's Centro,4.6,10 min,30 mcnuggets + 2 papas gd's,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465560
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas c/q + 10 mcnuggets + 2 papas gd's,$120,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465561
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas con queso + 2 papas grandes + 1 nuggets de 10 piezas,$118,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465562
